iter	MAPE	RMSE
0	0.7030305744	62431.77473
1	0.700494779	62270.56628
2	0.6954849137	61971.99983
3	0.6910986554	61702.16781
4	0.6875272498	61494.22542
5	0.6833548846	61231.32904
6	0.6791670113	60988.72205
7	0.6764069063	60792.6692
8	0.6720183315	60528.30293
9	0.6688422126	60354.18248
10	0.6644310969	60095.46191
11	0.6602458333	59849.1878
12	0.6586575013	59759.70029
13	0.6546938745	59550.06859
14	0.6521372327	59413.03132
15	0.6483368386	59211.34223
16	0.6477581157	59164.32476
17	0.6439761673	58948.49639
18	0.6403031161	58736.28079
19	0.6379194009	58614.48296
20	0.634334654	58424.62727
21	0.6310302214	58255.96868
22	0.6274857816	58057.77117
23	0.6243202207	57875.65256
24	0.6208075838	57693.90924
25	0.6173727742	57513.79467
26	0.6147077154	57360.56985
27	0.6112289897	57165.57248
28	0.6082996784	56986.52155
29	0.6057435956	56864.4338
30	0.6025316737	56701.57566
31	0.6000822129	56597.17271
32	0.5976428865	56487.9922
33	0.5949416299	56349.83317
34	0.5917223723	56162.25024
35	0.5895776098	56045.34329
36	0.5866506294	55895.27493
37	0.5845568239	55802.858
38	0.5821202198	55680.73312
39	0.5796195263	55557.28374
40	0.577842715	55460.15621
41	0.5749430316	55304.78065
42	0.5728165226	55211.85699
43	0.5702034244	55085.06357
44	0.5684032062	54994.57138
45	0.5659135261	54883.58812
46	0.5639213154	54780.85532
47	0.5617042784	54647.86998
48	0.559290241	54513.34711
49	0.5564279998	54362.78886
50	0.5538996612	54242.18644
51	0.5518135383	54142.22455
52	0.5499793523	54071.00349
53	0.5478840732	53980.2434
54	0.5455632818	53858.59934
55	0.5446882722	53809.69502
56	0.5427124602	53724.64113
57	0.5403844152	53605.74963
58	0.5383185838	53510.5912
59	0.5371151096	53459.88118
60	0.5359915459	53380.4353
61	0.5357983331	53368.18597
62	0.5339191196	53293.40373
63	0.5318655581	53195.12751
64	0.5296603292	53092.52204
65	0.5286561701	53048.9322
66	0.5264962087	52940.39602
67	0.5245351811	52842.83818
68	0.5224388647	52737.04578
69	0.5206065653	52670.30187
70	0.5189204509	52611.26336
71	0.5178250937	52576.44159
72	0.5158153331	52476.03903
73	0.514000572	52397.0972
74	0.5123137316	52337.72277
75	0.5109254052	52264.38877
76	0.5091536037	52184.65273
77	0.5077031607	52139.47318
78	0.5059718609	52075.81934
79	0.5048463061	52024.42725
80	0.5041385375	51989.84828
81	0.5038596845	51973.98928
82	0.5019945973	51892.00987
83	0.5008236943	51847.39241
84	0.4990896327	51769.36167
85	0.4974136363	51688.87962
86	0.4962860718	51640.52341
87	0.495168212	51579.77781
88	0.4943816532	51518.74735
89	0.492832117	51466.94096
90	0.4912383508	51392.39947
91	0.4904073098	51358.23366
92	0.4896108364	51335.58333
93	0.4881694456	51288.47992
94	0.4873362583	51265.77261
95	0.4860960595	51221.77438
96	0.48488022	51168.66952
97	0.4838711401	51134.72679
98	0.4825079981	51074.1565
99	0.4814366421	51042.96988
100	0.4802135159	50994.91305
101	0.4792820266	50940.54441
102	0.4779243508	50878.95242
103	0.4765034952	50817.71135
104	0.4763769996	50814.49251
105	0.474966624	50739.21439
106	0.4736492824	50688.35501
107	0.4725127906	50647.50311
108	0.4721791909	50631.14993
109	0.4714164892	50591.72537
110	0.4700084728	50531.70153
111	0.4690464935	50484.29454
112	0.4680842665	50447.51949
113	0.466978576	50403.24718
114	0.465754771	50350.12185
115	0.4648559298	50319.99834
116	0.4640913825	50271.20933
117	0.4633227744	50243.05462
118	0.4626101476	50207.05024
119	0.462186641	50196.89134
120	0.4610306769	50148.28948
121	0.4604872035	50126.76235
122	0.4598524138	50112.90342
123	0.4590265633	50071.25494
124	0.4582567069	50043.50764
125	0.4582528843	50033.82796
126	0.4580313215	50030.41163
127	0.4572503781	50010.63413
128	0.4563011629	49964.85583
129	0.455898552	49956.65864
130	0.4549384009	49921.29654
131	0.4538186177	49875.59609
132	0.4526649901	49824.04356
133	0.4513200439	49769.13673
134	0.4503542001	49729.09891
135	0.4499200528	49721.41038
136	0.4494447125	49695.95829
137	0.4490310479	49674.66128
138	0.4486357917	49666.9199
139	0.4477052338	49625.92237
140	0.4471170096	49587.55356
141	0.4469056094	49583.18739
142	0.4462725637	49566.37473
143	0.4458448316	49556.4648
144	0.4451672065	49529.68902
145	0.4443628557	49503.07744
146	0.4438796436	49483.60918
147	0.4429074681	49461.24074
148	0.4422665463	49436.4749
149	0.4416046235	49414.35809
150	0.4412818106	49400.80744
151	0.4405060313	49372.82395
152	0.4394594879	49320.09966
153	0.4390540202	49311.53932
154	0.4386912027	49288.32439
155	0.4378424476	49263.63218
156	0.4376165386	49252.67137
157	0.4370300338	49229.31328
158	0.4361145415	49195.50104
159	0.4356599679	49172.25033
160	0.4348259918	49139.27767
161	0.4340056578	49105.75451
162	0.4331553112	49079.32937
163	0.4331532919	49079.32921
164	0.4327664854	49062.80412
165	0.4327645367	49062.80397
166	0.4326558727	49061.77154
167	0.4322577092	49055.20252
168	0.431484011	49038.0978
169	0.4307312382	49009.28326
170	0.430026833	48991.99477
171	0.4292239115	48972.03611
172	0.4284024415	48946.50945
173	0.4279035907	48914.45111
174	0.4274576262	48903.67627
175	0.4274558046	48903.67614
176	0.4273051254	48899.28825
177	0.4268141123	48869.48739
178	0.4262790539	48854.37266
179	0.4257090545	48841.62299
180	0.4254525601	48838.07782
181	0.424899596	48807.06116
182	0.4248277338	48805.80472
183	0.424261725	48793.08508
184	0.4238273463	48772.92877
185	0.4232214894	48752.95882
186	0.4227348459	48744.8662
187	0.4220268172	48711.60217
188	0.4217941694	48701.10265
189	0.4211196548	48670.2485
190	0.4204943213	48651.82947
191	0.4202210005	48647.56609
192	0.4197842948	48632.21439
193	0.4192041765	48622.51872
194	0.4185239225	48600.70732
195	0.4181148137	48588.74682
196	0.4177254974	48578.81226
197	0.4172982355	48566.95518
198	0.4170317389	48563.21789
199	0.4166739907	48550.70579
200	0.4161486362	48526.78863
201	0.4156944625	48505.19074
202	0.4151440081	48483.85609
203	0.4146025811	48450.64829
204	0.4140165266	48433.38895
205	0.4135901906	48422.15181
206	0.4131563073	48407.67387
207	0.4126475952	48390.18995
208	0.4123345515	48375.91219
209	0.4117371476	48363.46636
210	0.4114350615	48351.97371
211	0.4106796264	48325.19164
212	0.4103921739	48318.1786
213	0.4103907501	48318.17851
214	0.4103893481	48318.17843
215	0.4099287091	48301.93373
216	0.4094981389	48293.2153
217	0.4094269916	48292.71154
218	0.409234296	48286.59556
219	0.4087309342	48274.38399
220	0.4082792871	48256.5117
221	0.4079538694	48246.15079
222	0.4075174169	48223.30777
223	0.4070944078	48205.98231
224	0.4067404747	48186.84181
225	0.4064153538	48178.43075
226	0.4061115729	48168.19031
227	0.4059738656	48165.01577
228	0.405338842	48144.69441
229	0.4050151292	48134.08077
230	0.4048085689	48126.48601
231	0.4043669578	48114.63585
232	0.4040260318	48106.7302
233	0.4038111422	48095.25887
234	0.4034521405	48079.98652
235	0.4034510604	48079.98647
236	0.4031753775	48070.57862
237	0.4027079589	48048.95283
238	0.4023309218	48036.89749
239	0.4019130549	48026.02006
240	0.4014687296	48013.83969
241	0.4009888617	48003.07759
242	0.4006894707	47991.23726
243	0.4004812334	47980.7435
244	0.4001488953	47970.94208
245	0.3998730084	47956.57028
246	0.3998698262	47956.35613
247	0.3994859664	47949.23618
248	0.3992769515	47933.70185
249	0.3990038872	47923.95433
250	0.3987179694	47899.37006
251	0.398546927	47890.13786
252	0.3981141352	47875.92463
253	0.3976698196	47862.37663
254	0.3975384582	47857.99934
255	0.3972316312	47850.24666
256	0.3972061195	47848.87637
257	0.397188922	47848.62793
258	0.397046055	47844.18661
259	0.3965979219	47824.5166
260	0.3963216707	47821.24592
261	0.3963078281	47820.21308
262	0.3960702167	47814.355
263	0.3957129623	47800.59766
264	0.3957120967	47800.59763
265	0.3955656021	47795.54933
266	0.395352242	47789.43427
267	0.3951386023	47784.23452
268	0.3951377645	47784.23449
269	0.3947863291	47769.42809
270	0.3944932567	47760.96382
271	0.3942680759	47749.46483
272	0.3941463055	47748.70061
273	0.3938164229	47741.43331
274	0.3935047795	47734.54783
275	0.3932655081	47729.12051
276	0.3930806326	47717.5168
277	0.3930799533	47717.51678
278	0.3929880082	47716.11213
279	0.3926716329	47706.03767
280	0.39267097	47706.03765
281	0.3924263417	47697.31082
282	0.3922753333	47693.04561
283	0.3920083304	47680.60647
284	0.3919564192	47680.21007
285	0.3916330672	47669.39436
286	0.3914082504	47657.6245
287	0.3913223136	47657.02819
288	0.3913001193	47656.85906
289	0.3911575228	47651.54292
290	0.3910285303	47650.09343
291	0.3908406097	47640.96266
292	0.390831546	47640.95463
293	0.3907072741	47634.01734
294	0.3904687508	47624.97388
295	0.3904682242	47624.97387
296	0.3904677058	47624.97386
297	0.390119544	47616.12583
298	0.3901190492	47616.12581
299	0.3897864268	47611.15304
300	0.3893819991	47595.24366
301	0.3891975363	47585.07494
302	0.3890952082	47580.17271
303	0.3890947222	47580.1727
304	0.3890942436	47580.17269
305	0.3888313993	47570.19801
306	0.3887516515	47567.06847
307	0.3887511947	47567.06846
308	0.3885036371	47559.45841
309	0.3884458137	47554.73317
310	0.388292168	47552.1144
311	0.3881491262	47547.85227
312	0.3880866265	47542.0434
313	0.3879788704	47540.27748
314	0.3877175351	47530.09875
315	0.3874767787	47526.50141
316	0.3873717507	47521.65533
317	0.3871471536	47512.01359
318	0.3868367805	47504.5504
319	0.3865632283	47497.63868
320	0.3863381101	47486.52606
321	0.386337721	47486.52605
322	0.3863373379	47486.52604
323	0.3861628064	47478.05896
