iter	Passed	Remaining
0	25	21128
1	38	15759
2	61	16801
3	87	18103
4	101	16760
5	130	17837
6	144	16956
7	173	17750
8	202	18401
9	222	18179
10	252	18733
11	281	19111
12	291	18246
13	315	18352
14	324	17579
15	352	17900
16	362	17280
17	385	17334
18	411	17527
19	425	17170
20	449	17281
21	473	17331
22	501	17557
23	520	17438
24	544	17495
25	567	17513
26	592	17582
27	616	17606
28	640	17655
29	666	17737
30	692	17793
31	700	17413
32	712	17170
33	739	17275
34	769	17427
35	791	17411
36	821	17561
37	831	17293
38	858	17377
39	886	17456
40	913	17543
41	936	17528
42	959	17510
43	982	17512
44	1011	17592
45	1038	17657
46	1067	17732
47	1095	17799
48	1121	17830
49	1148	17865
50	1174	17899
51	1194	17818
52	1203	17596
53	1221	17505
54	1247	17540
55	1262	17398
56	1288	17432
57	1315	17470
58	1344	17517
59	1362	17441
60	1384	17414
61	1394	17234
62	1421	17262
63	1449	17301
64	1477	17342
65	1492	17228
66	1518	17251
67	1541	17233
68	1564	17212
69	1591	17236
70	1617	17246
71	1635	17169
72	1665	17225
73	1688	17206
74	1723	17303
75	1758	17395
76	1793	17491
77	1819	17493
78	1851	17555
79	1885	17625
80	1902	17540
81	1912	17394
82	1944	17454
83	1977	17513
84	2009	17566
85	2038	17585
86	2065	17588
87	2087	17551
88	2114	17555
89	2148	17614
90	2175	17618
91	2193	17546
92	2209	17464
93	2244	17525
94	2261	17450
95	2294	17493
96	2326	17529
97	2349	17502
98	2382	17542
99	2430	17690
100	2462	17727
101	2483	17680
102	2517	17716
103	2549	17748
104	2560	17631
105	2605	17749
106	2633	17746
107	2660	17736
108	2688	17734
109	2716	17734
110	2746	17739
111	2773	17731
112	2809	17776
113	2842	17799
114	2875	17826
115	2909	17859
116	2941	17875
117	2975	17902
118	3008	17922
119	3032	17894
120	3066	17915
121	3099	17938
122	3112	17839
123	3156	17918
124	3181	17895
125	3192	17785
126	3203	17682
127	3236	17697
128	3264	17690
129	3274	17579
130	3300	17559
131	3329	17555
132	3364	17579
133	3399	17606
134	3434	17631
135	3452	17567
136	3486	17583
137	3518	17593
138	3538	17541
139	3571	17552
140	3605	17567
141	3621	17496
142	3648	17474
143	3681	17488
144	3702	17441
145	3732	17433
146	3751	17379
147	3778	17360
148	3800	17320
149	3827	17298
150	3841	17222
151	3871	17219
152	3901	17211
153	3911	17120
154	3944	17127
155	3976	17131
156	4010	17139
157	4045	17156
158	4084	17186
159	4119	17200
160	4153	17208
161	4186	17212
162	4219	17216
163	4226	17110
164	4258	17111
165	4264	17006
166	4273	16912
167	4295	16875
168	4333	16898
169	4363	16888
170	4388	16859
171	4418	16853
172	4451	16854
173	4485	16860
174	4521	16871
175	4528	16776
176	4547	16724
177	4582	16732
178	4614	16731
179	4647	16730
180	4665	16676
181	4697	16675
182	4714	16618
183	4741	16594
184	4776	16600
185	4817	16627
186	4839	16588
187	4867	16571
188	4885	16516
189	4910	16489
190	4935	16460
191	4947	16389
192	4977	16378
193	4998	16336
194	5034	16342
195	5069	16346
196	5102	16343
197	5134	16337
198	5151	16282
199	5179	16263
200	5209	16251
201	5242	16245
202	5274	16237
203	5304	16225
204	5336	16216
205	5365	16199
206	5382	16148
207	5411	16130
208	5438	16105
209	5466	16087
210	5493	16064
211	5521	16044
212	5548	16019
213	5553	15934
214	5558	15847
215	5582	15816
216	5607	15787
217	5617	15718
218	5635	15670
219	5661	15647
220	5686	15619
221	5713	15596
222	5742	15579
223	5768	15555
224	5796	15533
225	5823	15513
226	5851	15492
227	5877	15466
228	5900	15435
229	5923	15402
230	5950	15377
231	5977	15355
232	6004	15334
233	6032	15313
234	6061	15294
235	6066	15217
236	6092	15192
237	6117	15164
238	6147	15148
239	6174	15128
240	6204	15111
241	6228	15083
242	6256	15062
243	6287	15049
244	6317	15034
245	6349	15021
246	6362	14964
247	6395	14956
248	6430	14953
249	6464	14946
250	6496	14934
251	6527	14920
252	6558	14906
253	6591	14894
254	6618	14871
255	6650	14859
256	6661	14800
257	6671	14739
258	6702	14723
259	6732	14708
260	6748	14660
261	6764	14613
262	6795	14597
263	6822	14575
264	6833	14517
265	6861	14497
266	6889	14475
267	6915	14449
268	6920	14381
269	6950	14364
270	6980	14347
271	7015	14339
272	7025	14283
273	7057	14268
274	7087	14251
275	7143	14287
276	7177	14277
277	7188	14222
278	7221	14211
279	7254	14198
280	7261	14134
281	7292	14119
282	7322	14101
283	7354	14087
284	7376	14053
285	7408	14039
286	7440	14024
287	7472	14010
288	7483	13957
289	7514	13941
290	7540	13915
291	7566	13888
292	7576	13833
293	7606	13815
294	7637	13798
295	7642	13736
296	7648	13673
297	7678	13656
298	7684	13595
299	7709	13568
300	7739	13551
301	7767	13528
302	7790	13498
303	7795	13437
304	7801	13377
305	7831	13358
306	7846	13315
307	7851	13255
308	7879	13233
309	7901	13202
310	7927	13178
311	7959	13163
312	7988	13143
313	8003	13101
314	8034	13083
315	8062	13063
316	8091	13042
317	8117	13018
318	8144	12994
319	8168	12967
320	8193	12941
321	8198	12882
322	8203	12825
323	8233	12807
